,bearing,consist,course,headsign,latitude,longitude,lowFloor,route,vehicleId
0,123.0,,00205,Stará osada,49.20217,16.62996,,2,1023
1,180.0,,01102,Rakovecká,49.21605,16.61549,,11,1024
2,,,01009,Geislerova,49.19106,16.63399,,10,1027
3,11.0,,00505,Štefánikova čtvrť,49.21009,16.62402,,5,1028
4,56.0,,00207,Stará osada,49.19625,16.61585,,2,1029
5,11.0,,00405,Maloměřický most,49.19466,16.61455,,4,1030
6,180.0,,00619,Starý Lískovec,49.1992,16.6081,,6,1031
7,11.0,,00210,Stará osada,49.1783,16.59547,,2,1032
8,348.0,,00509,Štefánikova čtvrť,49.17958,16.59537,,5,1033
9,157.0,,00416,Náměstí Míru,49.19444,16.61433,,4,1036
10,337.0,,00507,Štefánikova čtvrť,49.19513,16.60419,,5,1037
11,213.0,,01103,Rakovecká,49.22667,16.62303,,11,1038
12,22.0,,00403,Maloměřický most,49.20948,16.63244,,4,1040
13,112.0,,00408,Maloměřický most,49.19807,16.59817,,4,1041
14,123.0,,00409,"Obřany, Babická",49.20208,16.58155,,4,1042
15,11.0,,00418,Náměstí Míru,49.1997,16.62601,,4,1046
16,180.0,,00515,Ústřední hřbitov,49.18512,16.59519,,5,1047
17,0.0,,00404,"Obřany, Babická",49.20177,16.62626,,4,1048
18,101.0,,01115,Rakovecká,49.21318,16.55979,,11,1049
19,348.0,,00211,Stará osada,49.16122,16.59941,,2,1054
20,101.0,,01111,Čertova rokle,49.22918,16.52973,,11,1059
21,168.0,,00217,"Modřice, smyčka",49.14072,16.60287,,2,1060
22,11.0,,00410,Maloměřický most,49.20224,16.58209,,4,1062
23,337.0,,00511,Štefánikova čtvrť,49.17078,16.59747,,5,1064
24,45.0,,01109,Čertova rokle,49.204,16.59612,,11,1066
25,,,01002,Geislerova,49.16946,16.57507,,10,1077
26,123.0,1078+1617,00111,Řečkovice,49.22001,16.53791,True,1,1078
27,326.0,,01117,Rakovecká,49.2055,16.59417,,11,1080
28,337.0,,00607,"Královo Pole, nádraží",49.20737,16.60448,,6,1081
29,90.0,1082+1590,00101,Řečkovice,49.18927,16.60338,True,1,1082
30,270.0,,00420,Náměstí Míru,49.21578,16.6409,,4,1086
31,56.0,1088+1586,00103,Řečkovice,49.18978,16.59264,True,1,1088
32,123.0,1090+1597,00139,Ečerova,49.24698,16.5794,True,1,1090
33,348.0,1092+1557,00149,Řečkovice,49.20237,16.60725,True,1,1092
34,112.0,1093+1582,00105,Řečkovice,49.19329,16.57123,True,1,1093
35,270.0,1094+1539,00127,Ečerova,49.18941,16.58604,True,1,1094
36,90.0,1096+1575,00133,Ečerova,49.20309,16.60706,True,1,1096
37,191.0,,00503,Ústřední hřbitov,49.21684,16.62804,,5,1097
38,326.0,1098+1573,00151,Řečkovice,49.19587,16.61296,True,1,1098
39,157.0,1106+1584,00109,Řečkovice,49.21006,16.572,True,1,1106
40,225.0,,00501,Ústřední hřbitov,49.19724,16.60355,,5,1107
41,191.0,1108+1592,00131,Ečerova,49.19326,16.6138,True,1,1108
42,168.0,,00219,"Modřice, smyčka",49.1571,16.60006,,2,1110
43,146.0,1112+1556,00137,Ečerova,49.23013,16.59087,True,1,1112
44,78.0,,00213,Stará osada,49.12658,16.60453,True,2,1114
45,11.0,,00424,Náměstí Míru,49.22806,16.65323,,4,1116
46,180.0,,00221,"Modřice, smyčka",49.18275,16.59497,True,2,1117
47,101.0,,01110,Čertova rokle,49.21188,16.58145,,11,1118
48,247.0,,00422,Náměstí Míru,49.22746,16.64954,,4,1119
49,146.0,,00603,Starý Lískovec,49.23074,16.59483,,6,1120
50,11.0,,00203,"Modřice, smyčka",49.20284,16.64142,,2,1122
51,236.0,,00201,"Modřice, smyčka",49.19625,16.61581,,2,1125
52,348.0,1127+1497,00113,Řečkovice,49.222,16.52012,True,1,1127
53,270.0,,00223,"Modřice, smyčka",49.18932,16.60292,,2,1128
54,135.0,,00215,Stará osada,49.12661,16.6042,,2,1130
55,270.0,,01007,Švermova,49.19299,16.67781,True,10,1131
56,0.0,,00611,"Královo Pole, nádraží",49.18901,16.59456,,6,1132
57,348.0,1201+1202,00910,Juliánov,49.22667,16.62299,,9,1201
58,313.0,1203+1204,01238,Technologický park,49.20113,16.59969,,12,1203
59,56.0,1207+1208,01214,Komárov,49.19137,16.61275,,12,1207
60,303.0,1209+1210,01206,Technologický park,49.19192,16.61444,,12,1209
61,157.0,1211+1212,01232,Komárov,49.2321,16.57649,,12,1211
62,303.0,1213+1214,01222,Komárov,49.22171,16.58516,,12,1213
63,303.0,1215+1216,01201,Technologický park,49.19901,16.60315,,12,1215
64,22.0,1217+1218,01210,Technologický park,49.17544,16.62162,,12,1217
65,168.0,1219+1220,00134,Ečerova,49.2166,16.59918,,1,1219
66,202.0,1517+1558,00617,Starý Lískovec,49.1887,16.5944,,6,1517
67,33.0,,01011,Stránská skála,49.18838,16.60687,True,10,1523
68,236.0,1531+1560,00128,Ečerova,49.19005,16.6089,,1,1531
69,202.0,1543+1587,00613,"Královo Pole, nádraží",49.17176,16.55393,,6,1543
